Table:CsvSystemMail,,,,,,,,,,,
tid,title:s,content:s,from:s,items:a,items_count:a,,,,,,
#,邮件主题,邮件内容,发送人,附件物品列表,附件物品数量列表,,,,,,
#,,字数没有限制但尽量不要太多,,最多四个奖励,最多四个奖励,,,,,,
#,以下是测试邮件,编辑邮件内容困难可以用txt先写，然后粘贴上来,,,,,,,,,
#,,,,,,,,,,,
1001,测试邮件1,尊敬的指挥官大人：\n     这是一封测试邮件\n\n\n\n\n\n\n\n\n\n\n   啊范德萨范德萨发的阿股份是发达还记得\n\n\n fdsakljgfdahgieadahnjklga fdsagasj 范德萨噶\n\n\n\n\n\n\n 恩高度撒感觉可不能股吧就快了\n\n\n\n\n  结束,NOVA-小果果,40006,5,,,,,,
1002,测试邮件2,测试2,NOVA-小果果,"40006,40007","5,5",,,,
1003,测试邮件3,测试3,NOVA-小果果,"40006,40007,40008","5,5,5",,
1004,测试邮件4,测试4,NOVA-小果果,,,,,,,,
1005,测试邮件5,测试5,NOVA-小果果,"40006,40007,40008,40009","5,5,5,5"
1006,测试邮件6,测试6,NOVA-小果果,"40006,40007,40008,40009","5,5,5,5"
1007,测试邮件7,测试7,NOVA-小果果,"40006,40007,40008,40009","5,5,5,5"
#,,,,,,,,,,,
#,以下是竞技场邮件,,,,,,,,,,
#,,,,,,,,,,,
2001,竞技场,恭喜获得竞技场第一名,NOVA-小果果,,,,,,,,
2002,竞技场,恭喜获得竞技场第二名,NOVA-小果果,,,,,,,,
2003,竞技场,恭喜获得竞技场第三名,NOVA-小果果,,,,,,,,
2004,竞技场,恭喜获得竞技场第四名,NOVA-小果果,40006,5,,,,,,
2005,竞技场,恭喜获得竞技场第五名,NOVA-小果果,40006,5,,,,,,
2006,竞技场,恭喜获得竞技场第六名,NOVA-小果果,40006,5,,,,,,
2007,竞技场,恭喜获得竞技场第七名,NOVA-小果果,40006,5,,,,,,
2008,竞技场,恭喜获得竞技场第七名,NOVA-小果果,40006,5,,,,,,
2009,竞技场,恭喜获得竞技场第七名,NOVA-小果果,40006,5,,,,,,
2010,竞技场,恭喜获得竞技场第七名,NOVA-小果果,40006,5,,,,,,
#,,,,,,,,,,,
#,以下是抢夺邮件,,,,,,,,,,
#,,,,,,,,,,,
3001,抢夺,指挥官大人，您的<color=#f75a4a>{0}</color> 被<color=#659ef7>{1}</color> 抢走了@11@11@11,NOVA-小果果,,,,,,,,
#,,,,,,,,,,,
#,以下是世界boss邮件,,,,,,,,,,
#,,,,,,,,,,,
4001,世界boss,你在世界boos战斗中表现优异fdasfdasfdsa,NOVA-小果果,40006,5,,,,,,
#,等等,,,,,,,,,,
5001,好友更名,您的好友“{0}”已更名为：“{1}”，请记得多联系。,系统邮件,,,,,,,,
#,,,,,,,,,,,
#,以下是军团邮件,,,,,,,,,,
#,,,,,,,,,,,
6001,升为团长,由于您在军团中的威望无人能及，原军团长<color=#f75a4a>{0}</color> 对您十分看好，将团长之位转让给您，从现在开始，您就是<color=#659ef7>{1}</color>军团的团长了,军团,,,,,,,,
6002,军团解散,由于军团内长时间没有人进行打理，<color=#f75a4a>{0}</color> 军团被解散了，您现在已经是无军团人士，您可以通过军团按钮，申请加入其他军团,军团,,,,,,,,
6003,Boss奖励,因为您所在的军团<color=#f75a4a>{0}</color>，所有成员骁勇善战，将军团BOSS打的四处逃窜，大部分成员都已经领取奖励，唯独您没有领取，所以通过邮件将奖励送货上门，敬请接收。,军团,,,,,,,,
6004,通知入团,恭喜您！您已经成为军团<color=#f75a4a>{0}</color>光荣的一员,军团,,,,,,,,
6005,军团邮件,由于志趣不同，您被请理出{0}军团,军团,,,,,,,,
#,,,,,,,,,,,
#,以下是赛场邮件,,,,,,,,,,
#,,,,,,,,,,,
7001,赛场补偿,您不幸在赛场被<color=#f75a4a>{0}</color>打败，系统给您补偿<color=#659ef7>{1}</color>,,,,,,,,,
7002,赛场补偿,每周日将赛场将重置，系统给您冠军补偿<color=#659ef7>{0}</color>,,,,,,,,,
#,,,,,,,,,,,
#,以下是充值消费积分邮件,,,,,,,,,,
#,,,,,,,,,,,
8001,系统邮件,"由于您在""充值积分""活动中获得的奖励还未领取，现在通过邮件将您应得的奖励，发送给您，敬请领取",系统邮件,,,,,,,,
8002,系统邮件,"由于您在""消费积分""活动中忘记领取奖励，现在通过邮件将您应得的奖励，发送给您，敬请领取",系统邮件,,,,,,,,
#,以下是炼金术邮件,,,,,,,,,,
8003,系统邮件,这是您参与”{0}”获得的回馈，请通过领取按钮获取奖励,系统邮件,,,,,,,,
#,,,,,,,,,,,
#,充值返高级召唤石邮件,,,,,,,,,,
8004,系统邮件,"由于您在""充值返高级召唤石""活动中获得奖励还未领取，现在通过邮件将您应得的奖励发送给您，敬请领取",系统邮件,,,,,,,,
#,,,,,,,,,,,
#,集字换宝,,,,,,,,,,
8005,系统邮件,恭喜您在“集字换宝”中，抽到文字奖励，通过兑换，您总计获得如下奖励，请点击【领取】按钮获取奖励,系统邮件,,,,,,,,
#,,,,,,,,,,,
9001,收到鲜花,{0}向你赠送了{1}朵鲜花，你获得了{2}点经验@21,系统邮件,,,,,,,,
#,,,,,,,,,,,
10001,连续登录奖励,您有未领取的连续登陆奖励,系统邮件,,,,,,,,
#远征邮件,,,,,,,,,,,
11001,远征扫荡奖励,您有未领取的远征扫荡奖励,系统邮件,,,,,,,,
11002,远征扫荡完成,"英雄远征扫荡完成,您可以在主界面领取奖励",系统邮件,,,,,,,
#,,,,,,,,,,,
12001,跨服神将排行奖励,恭喜您在“跨服神将”活动中积分排名第{0}名，请点击【领取】按钮获取相应奖励,系统邮件,,,,,,,,
12002,跨服神将积分奖励,由于您在“跨服神将”活动中获得的积分奖励还未领取，现在通过邮件将您应得的奖励，发送给您，敬请领取,系统邮件,,,,,,,,
#月卡,,,,,,,,,,,
13001,月卡奖励,您购买了{0}，请领取您遗忘的月卡奖励,系统邮件,,,,,,,,
13002,月卡到期,您购买的{0}即将到期，为了保证您的收益请尽快续费，月卡时间将会累计,系统邮件,,,,,,,,
13003,月卡到期,您购买的{0}已到期，您可以前往福利继续购买,系统邮件,,,,,,,,
#洞穴探宝,,,,,,,,,,,
14001,探宝奖励,恭喜您在洞穴探宝获得如下奖励，请清理包裹后，点击下方领取按钮领取您的奖励,系统邮件,,,,,,,,
#开服七天乐,,,,,,,,,,,
15001,开服七天乐,您在开服七天乐活动中，“{0}”任务的奖励未领取，请点击【领取】按钮获取相应奖励,系统邮件,,,,,,,,
#夺宝送礼,,,,,,,,,,,
16001,夺宝送礼,您在夺宝送礼活动中，夺宝礼包奖励未领取，请点击【领取】按钮获取相应奖励,系统邮件,,,,,,,,
#积分转盘,,,,,,,,,,,
17001,积分转盘,恭喜您在【积分转盘】中获得如下奖励，敬请领取,系统邮件,,,,,,,,
17002,积分转盘,恭喜您在【积分转盘】中，积分排名第{0}名，获得如下奖励，敬请领取,系统邮件,,,,,,,,
17003,积分转盘,【积分转盘】倒计时1小时开始，敬请玩家注意领取进度奖励，以及消费免费次数,系统邮件,,,,,,,,
#军团活跃,,,,,,,,,,,
17004,军团活跃,上周军团活跃奖励如下，敬请领取,系统邮件,,,,,,,,
#无尽试炼,,,,,,,,,,,
