Table:CsvTimeLimitExchange,,,,,,,,,
tid,item1,num1,item2,num2,e_item,e_num,type:TimeLimitExchangeType,limit_times,show_level
# 这个tid会记录到数据库中，不要删,物品tid1,物品1数量,物品tid2,物品2数量,兑换物品tid,兑换物品数量,兑换类型（只有这四种，不要写错）,兑换次数限制,兑换材料等级限制（低于该等级的不刷这个材料）
1001,2004,1,103,50,2011,1,碎片,5,1
1002,2004,1,103,50,2012,1,碎片,5,1
1003,2004,1,103,50,2020,1,碎片,5,1
1004,2004,1,103,50,2025,1,碎片,5,1
1005,2004,1,103,50,2027,1,碎片,5,1
1006,2011,1,103,50,2004,1,碎片,5,1
1007,2011,1,103,50,2012,1,碎片,5,1
1008,2011,1,103,50,2020,1,碎片,5,1
1009,2011,1,103,50,2025,1,碎片,5,1
1010,2011,1,103,50,2027,1,碎片,5,1
1011,2012,1,103,50,2004,1,碎片,5,1
1012,2012,1,103,50,2011,1,碎片,5,1
1013,2012,1,103,50,2020,1,碎片,5,1
1014,2012,1,103,50,2025,1,碎片,5,1
1015,2012,1,103,50,2027,1,碎片,5,1
1016,2020,1,103,50,2004,1,碎片,5,1
1017,2020,1,103,50,2011,1,碎片,5,1
1018,2020,1,103,50,2012,1,碎片,5,1
1019,2020,1,103,50,2025,1,碎片,5,1
1020,2020,1,103,50,2027,1,碎片,5,1
1021,2025,1,103,50,2004,1,碎片,5,1
1022,2025,1,103,50,2011,1,碎片,5,1
1023,2025,1,103,50,2012,1,碎片,5,1
1024,2025,1,103,50,2020,1,碎片,5,1
1025,2025,1,103,50,2027,1,碎片,5,1
1026,2027,1,103,50,2004,1,碎片,5,1
1027,2027,1,103,50,2011,1,碎片,5,1
1028,2027,1,103,50,2012,1,碎片,5,1
1029,2027,1,103,50,2020,1,碎片,5,1
1030,2027,1,103,50,2025,1,碎片,5,1
1031,120001,1,103,10,120002,1,铭文,5,1
1032,120001,1,103,10,120004,1,铭文,5,1
1033,120001,1,103,10,120005,1,铭文,5,1
1034,120001,1,103,10,120006,1,铭文,5,1
1035,120001,1,103,10,120007,1,铭文,5,1
1036,120001,1,103,10,120008,1,铭文,5,1
1037,120001,1,103,10,120009,1,铭文,5,1
1038,120001,1,103,10,120010,1,铭文,5,1
1039,120002,1,103,10,120001,1,铭文,5,1
1040,120002,1,103,10,120004,1,铭文,5,1
1041,120002,1,103,10,120005,1,铭文,5,1
1042,120002,1,103,10,120006,1,铭文,5,1
1043,120002,1,103,10,120007,1,铭文,5,1
1044,120002,1,103,10,120008,1,铭文,5,1
1045,120002,1,103,10,120009,1,铭文,5,1
1046,120002,1,103,10,120010,1,铭文,5,1
1047,120004,1,103,10,120001,1,铭文,5,1
1048,120004,1,103,10,120002,1,铭文,5,1
1049,120004,1,103,10,120005,1,铭文,5,1
1050,120004,1,103,10,120006,1,铭文,5,1
1051,120004,1,103,10,120007,1,铭文,5,1
1052,120004,1,103,10,120008,1,铭文,5,1
1053,120004,1,103,10,120009,1,铭文,5,1
1054,120004,1,103,10,120010,1,铭文,5,1
1055,120005,1,103,10,120001,1,铭文,5,1
1056,120005,1,103,10,120002,1,铭文,5,1
1057,120005,1,103,10,120004,1,铭文,5,1
1058,120005,1,103,10,120006,1,铭文,5,1
1059,120005,1,103,10,120007,1,铭文,5,1
1060,120005,1,103,10,120008,1,铭文,5,1
1061,120005,1,103,10,120009,1,铭文,5,1
1062,120005,1,103,10,120010,1,铭文,5,1
1063,120006,1,103,10,120001,1,铭文,5,1
1064,120006,1,103,10,120002,1,铭文,5,1
1065,120006,1,103,10,120004,1,铭文,5,1
1066,120006,1,103,10,120005,1,铭文,5,1
1067,120006,1,103,10,120007,1,铭文,5,1
1068,120006,1,103,10,120008,1,铭文,5,1
1069,120006,1,103,10,120009,1,铭文,5,1
1070,120006,1,103,10,120010,1,铭文,5,1
1071,120007,1,103,10,120001,1,铭文,5,1
1072,120007,1,103,10,120002,1,铭文,5,1
1073,120007,1,103,10,120004,1,铭文,5,1
1074,120007,1,103,10,120005,1,铭文,5,1
1075,120007,1,103,10,120006,1,铭文,5,1
1076,120007,1,103,10,120008,1,铭文,5,1
1077,120007,1,103,10,120009,1,铭文,5,1
1078,120007,1,103,10,120010,1,铭文,5,1
1079,120008,1,103,10,120001,1,铭文,5,1
1080,120008,1,103,10,120002,1,铭文,5,1
1081,120008,1,103,10,120004,1,铭文,5,1
1082,120008,1,103,10,120005,1,铭文,5,1
1083,120008,1,103,10,120006,1,铭文,5,1
1084,120008,1,103,10,120007,1,铭文,5,1
1085,120008,1,103,10,120009,1,铭文,5,1
1086,120008,1,103,10,120010,1,铭文,5,1
1087,120009,1,103,10,120001,1,铭文,5,1
1088,120009,1,103,10,120002,1,铭文,5,1
1089,120009,1,103,10,120004,1,铭文,5,1
1090,120009,1,103,10,120005,1,铭文,5,1
1091,120009,1,103,10,120006,1,铭文,5,1
1092,120009,1,103,10,120007,1,铭文,5,1
1093,120009,1,103,10,120008,1,铭文,5,1
1094,120009,1,103,10,120010,1,铭文,5,1
1095,120010,1,103,10,120001,1,铭文,5,1
1096,120010,1,103,10,120002,1,铭文,5,1
1097,120010,1,103,10,120004,1,铭文,5,1
1098,120010,1,103,10,120005,1,铭文,5,1
1099,120010,1,103,10,120006,1,铭文,5,1
1100,120010,1,103,10,120007,1,铭文,5,1
1101,120010,1,103,10,120008,1,铭文,5,1
1102,120010,1,103,10,120009,1,铭文,5,1
1103,42001,3,103,10,42002,3,英雄进阶材料,3,1
1104,42002,3,103,10,42001,3,英雄进阶材料,3,1
1105,42003,3,103,10,42004,3,英雄进阶材料,3,25
1106,42004,3,103,10,42003,3,英雄进阶材料,3,25
1107,42001,3,103,15,42003,2,英雄进阶材料,3,15
1108,42001,3,103,30,42004,2,英雄进阶材料,3,25
1109,42002,3,103,15,42003,2,英雄进阶材料,3,15
1110,42002,3,103,30,42004,2,英雄进阶材料,3,25
1111,42003,3,103,30,42011,2,英雄进阶材料,3,35
1112,42003,3,103,30,42012,2,英雄进阶材料,3,35
1113,42004,3,103,30,42012,2,英雄进阶材料,3,35
1114,42004,3,103,30,42011,2,英雄进阶材料,3,35
1115,42011,3,103,10,42012,3,英雄进阶材料,3,35
1116,42012,3,103,10,42011,3,英雄进阶材料,3,35
1117,42013,3,103,10,42014,3,英雄进阶材料,3,45
1118,42014,3,103,10,42013,3,英雄进阶材料,3,45
1119,42013,3,103,15,42015,3,英雄进阶材料,3,55
1120,42014,3,103,15,42015,3,英雄进阶材料,3,55
1121,42015,3,103,10,42013,3,英雄进阶材料,3,55
1122,42015,3,103,10,42014,3,英雄进阶材料,3,55
1123,42011,3,103,30,42013,2,英雄进阶材料,3,35
1124,42011,3,103,30,42014,2,英雄进阶材料,3,45
1125,42012,3,103,30,42013,2,英雄进阶材料,3,35
1126,42012,3,103,30,42014,2,英雄进阶材料,3,45
1127,42011,3,103,30,42015,2,英雄进阶材料,3,55
1128,42012,3,103,30,42015,2,英雄进阶材料,3,55
1129,42013,3,103,30,42021,2,英雄进阶材料,3,60
1130,42014,3,103,30,42021,2,英雄进阶材料,3,60
1131,42015,3,103,30,42021,2,英雄进阶材料,3,60
1132,42013,3,103,30,42022,2,英雄进阶材料,3,65
1133,42014,3,103,30,42022,2,英雄进阶材料,3,65
1134,42015,3,103,30,42022,2,英雄进阶材料,3,65
1135,42021,3,103,10,42022,3,英雄进阶材料,3,65
1136,42022,3,103,10,42021,3,英雄进阶材料,3,65
1137,42021,3,103,30,42023,2,英雄进阶材料,3,70
1138,42021,3,103,30,42024,2,英雄进阶材料,3,75
1139,42021,3,103,30,42025,2,英雄进阶材料,3,80
1140,42022,3,103,30,42023,2,英雄进阶材料,3,70
1141,42022,3,103,30,42024,2,英雄进阶材料,3,75
1142,42022,3,103,30,42025,2,英雄进阶材料,3,80
1143,42023,3,103,15,42024,3,英雄进阶材料,3,75
1144,42023,3,103,15,42025,3,英雄进阶材料,3,80
1145,42024,3,103,10,42023,3,英雄进阶材料,3,75
1146,42024,3,103,10,42025,3,英雄进阶材料,3,80
1147,42025,3,103,10,42023,3,英雄进阶材料,3,80
1148,42025,3,103,10,42024,3,英雄进阶材料,3,80
1149,42023,3,103,30,42031,2,英雄进阶材料,3,85
1150,42024,3,103,30,42031,2,英雄进阶材料,3,85
1151,42025,3,103,30,42031,2,英雄进阶材料,3,85
1152,41011,5,103,20,41012,1,武器进阶材料,3,1
1153,41012,1,103,20,41011,5,武器进阶材料,3,1
1154,41012,2,103,30,41013,1,武器进阶材料,3,45
1155,41013,1,103,30,41012,2,武器进阶材料,3,45
1156,41013,5,103,50,41022,1,武器进阶材料,3,55
1157,41021,1,103,20,41022,1,武器进阶材料,3,55
1158,41022,1,103,20,41021,1,武器进阶材料,3,55
1159,41011,100,103,50,41022,1,武器进阶材料,3,55
1160,41012,20,103,50,41022,1,武器进阶材料,3,55
1161,41011,100,103,50,41021,1,武器进阶材料,3,55
1162,41012,20,103,50,41021,1,武器进阶材料,3,55
1163,41013,5,103,50,41021,1,武器进阶材料,3,55
,,,,,,,,,
,,,,,,,,,
Table:CsvTLExchangeVipLimit,,,,,,,,,
tid,refresh_time,cost_diamond,level_limit,,,,,,
#限时兑换可刷新次数限制表,刷新次数,花费钻石数,vip等级限制,,,,,,
1,1,0,0,,,,,,
2,2,10,0,,,,,,
3,3,10,0,,,,,,
4,4,10,0,,,,,,
5,5,10,0,,,,,,
6,6,10,0,,,,,,
7,7,10,0,,,,,,
8,8,10,0,,,,,,
9,9,10,0,,,,,,
10,10,10,0,,,,,,
11,11,10,1,,,,,,
12,12,10,1,,,,,,
13,13,10,1,,,,,,
14,14,10,1,,,,,,
15,15,10,1,,,,,,
16,16,10,2,,,,,,
17,17,10,2,,,,,,
