Table:CsvTreasurebox,,,,
tid,item_id,item_get,item_get_probability,level
#,宝箱道具编号,获得道具编号,获得道具几率,
101,60001,100890,7,1
102,60001,100900,7,1
103,60001,100910,7,1
104,60001,100920,7,1
105,60001,100930,7,1
106,60001,100940,8,1
107,60001,101180,1,1
108,60001,101190,1,1
109,60001,101200,1,1
110,60001,101210,1,1
111,60001,101220,1,1
112,60001,101230,1,1
113,60001,101240,1,1
114,60001,11089,39,1
115,60001,11090,39,1
116,60001,11091,39,1
117,60001,11092,39,1
118,60001,11093,39,1
119,60001,11094,39,1
120,60001,11118,38,1
121,60001,11119,38,1
122,60001,11120,38,1
123,60001,11121,38,1
124,60001,11122,38,1
125,60001,11123,38,1
126,60001,11124,38,1
127,60001,11141,8,1
128,60001,11142,8,1
129,60001,11143,9,1
130,60001,11144,8,1
131,60001,11145,8,1
132,60001,11146,9,1
133,60001,100110,60,1
134,60001,100120,60,1
135,60001,100130,60,1
136,60001,100140,60,1
137,60001,100210,60,1
138,60001,100220,60,1
139,60001,100230,60,1
140,60001,100240,60,1
141,60001,100310,30,1
142,60001,100320,30,1
143,60001,100340,30,1
144,60001,100350,30,1
145,60001,100410,30,1
146,60001,100420,30,1
147,60001,100430,30,1
148,60001,100440,30,1
149,60001,100610,10,1
150,60001,100620,10,1
151,60001,100650,10,1
152,60001,100660,10,1
153,60001,100710,10,1
154,60001,100730,10,1
155,60001,100740,10,1
156,60001,100750,10,1
157,60001,11011,120,1
158,60001,11012,120,1
159,60001,11013,120,1
160,60001,11014,120,1
161,60001,11021,120,1
162,60001,11022,120,1
163,60001,11023,120,1
164,60001,11024,120,1
165,60001,11031,60,1
166,60001,11032,60,1
167,60001,11034,60,1
168,60001,11035,60,1
169,60001,11041,60,1
170,60001,11042,60,1
171,60001,11043,60,1
172,60001,11044,60,1
173,60001,11061,20,1
174,60001,11062,20,1
175,60001,11065,20,1
176,60001,11066,20,1
177,60001,11071,20,1
178,60001,11073,20,1
179,60001,11074,20,1
180,60001,11075,20,1
181,60001,2005,100,1
182,60001,2006,100,1
183,60001,2014,100,1
184,60001,2017,100,1
185,60001,2024,100,1
186,60001,2026,100,1
187,60001,2029,100,1
188,60001,2030,100,1
189,60001,2117,200,1
190,60001,2104,200,1
191,60001,2105,200,1
192,60001,2107,200,1
193,60001,2112,200,1
194,60001,2122,200,1
195,60001,2128,200,1
196,60001,2130,200,1
197,60001,90007,200,1
198,60001,90008,200,1
199,60001,90009,200,1
200,60001,40051,10,1
201,60001,40012,100,1
202,60001,50004,300,1
203,60001,50008,500,1
204,60001,50012,190,1
205,60001,50011,200,1
206,60001,50015,500,1
207,60001,50016,500,1
208,60001,200012,20,1
209,60001,200112,20,1
210,60001,200212,20,1
211,60001,200312,20,1
212,60001,200412,20,1
213,60001,200512,20,1
214,60001,200612,20,1
215,60001,200712,20,1
216,60001,200812,20,1
217,60001,200912,20,1
218,60001,201012,20,1
219,60001,201112,20,1
220,60001,201212,20,1
221,60001,201312,20,1
222,60001,201512,20,1
223,60001,70001,500,1
224,60001,910008,75,1
225,60001,910009,75,1
226,60001,910010,75,1
227,60001,910011,75,1
228,60001,910007,100,1
229,60001,910012,100,1
230,60001,50052,100,1
231,60001,50053,200,1
232,60001,50054,100,1
#,,,,1
233,60002,11089,10,1
234,60002,11090,11,1
235,60002,11091,11,1
236,60002,11092,11,1
237,60002,11093,11,1
238,60002,11094,11,1
239,60002,11118,5,1
240,60002,11119,5,1
241,60002,11120,5,1
242,60002,11121,5,1
243,60002,11122,5,1
244,60002,11123,5,1
245,60002,11124,5,1
246,60002,100110,15,1
247,60002,100120,15,1
248,60002,100130,15,1
249,60002,100140,15,1
250,60002,100210,15,1
251,60002,100220,15,1
252,60002,100230,15,1
253,60002,100240,15,1
254,60002,100310,7,1
255,60002,100320,7,1
256,60002,100340,8,1
257,60002,100350,8,1
258,60002,100410,7,1
259,60002,100420,8,1
260,60002,100430,7,1
261,60002,100440,8,1
262,60002,100610,2,1
263,60002,100620,3,1
264,60002,100650,2,1
265,60002,100660,3,1
266,60002,100710,2,1
267,60002,100730,3,1
268,60002,100740,2,1
269,60002,100750,3,1
270,60002,11011,120,1
271,60002,11012,120,1
272,60002,11013,120,1
273,60002,11014,120,1
274,60002,11021,120,1
275,60002,11022,100,1
276,60002,11023,100,1
277,60002,11024,100,1
278,60002,11031,100,1
279,60002,11032,100,1
280,60002,11034,100,1
281,60002,11035,100,1
282,60002,11041,100,1
283,60002,11042,100,1
284,60002,11043,100,1
285,60002,11044,100,1
286,60002,11061,100,1
287,60002,11062,100,1
288,60002,11065,100,1
289,60002,11066,100,1
290,60002,11071,100,1
291,60002,11073,100,1
292,60002,11074,100,1
293,60002,11075,100,1
294,60002,2117,220,1
295,60002,2104,220,1
296,60002,2105,220,1
297,60002,2107,220,1
298,60002,2112,230,1
299,60002,2122,230,1
300,60002,2128,230,1
301,60002,2130,230,1
302,60002,2205,83,1
303,60002,2210,83,1
304,60002,2212,83,1
305,60002,2217,83,1
306,60002,2225,84,1
307,60002,2228,84,1
308,60002,90007,166,1
309,60002,90008,167,1
310,60002,90009,167,1
311,60002,90004,200,1
312,60002,90005,200,1
313,60002,90006,200,1
314,60002,40009,200,1
315,60002,50003,200,1
