Table:CsvVIPAward,,,,,,,,,
tid,name:s,items:a,items_count:a,vip_limit,vip_level,need_exp,buy_price,ori_price,vip_benefit:s
#,名字,奖励物品列表,奖励物品数量列表,VIP等级查看限制,VIP等级,VIP升级经验,购买价格（钻石）,原价,VIP福利
#,,最多四个,最多四个,每个玩家只能滑动到自己VIP等级+5的权限说明 ,,,,,
1,VIP1礼包,"40013,40016,60002,40010","3,3,5,5",0,1,100,0,2880,1、可购买超值VIP1级福利礼包\n2、每日可以购买体力丹2次\n3、每日购买精力丹2次\n4、每日购买10个氪金宝箱\n5、包裹格子增加5格\n6、英雄格子增加5格\n7、军团【至尊捐献】开启\n8、增加奇遇商店刷新次数1次\n9、领取每日VIP1级礼包
2,VIP2礼包,"107,108,40009,100920","100000,1000,5,1",0,2,400,280,3880,1、可购买超值VIP2级福利礼包\n2、增加购买每日答题次数1次\n3、可购买成长计划\n4、开启自动战斗\n5、世界boss开启【至尊寻回】\n6、装备强化增加10%暴击概率\n7、开启副本【一键五星】功能\n8、每日可购买2次副本挑战次数\n9、每日可购买15个氪金宝箱\n10、领取每日VIP2级礼包\n11、包含所有VIP1功能
3,VIP3礼包,"2022,107,60001,100940","50,150000,5,1",0,3,500,680,8880,1、可购买超值VIP3级福利礼包\n2、夺宝系统开启【抢夺十次】功能\n3、每日免费刷新神秘商店3次\n4、每日购买3次精力丹次\n5、每日购买20个氪金宝箱\n6、包裹格子增加10格\n7、英雄格子增加10格\n8、领取每日VIP3级礼包\n9、包含所有VIP1~2级功能
4,VIP4礼包,"900009,40007,107,108","1,1,200000,1000",0,4,1000,680,8880,1、可购买超值VIP4级福利礼包\n2、开启世界boss自动战斗功能\n3、63级开启中级洗炼石洗炼功能（原73级开启）\n4、增加2次军团boss购买挑战次数\n5、增加副本额外roll点次数1次\n6、每日购买体力丹3次\n7、每日购买氪金宝箱25个\n8、增加3次奇遇商店刷新次数\n9、领取每日VIP4级礼包\n10、包含所有VIP1~3级功能\n11、开启【冒险扫荡】功能
5,VIP5礼包,"2022,40022,42001,100910","50,5,15,1",0,5,3000,1380,13880,1、可购买超值VIP5级福利礼包\n2、开启【一键附魔】功能\n3、竞技场增加2次免费挑战次数\n4、夺宝功能开启【一键抢夺】\n5、每日购买氪金宝箱30个\n6、包裹格子增加15格\n7、英雄格子增加15格\n8、增加每日购买3次副本挑战次数\n9、增加4次奇遇商店刷新次数\n10、增加购买答题次数3次\n11、领取每日VIP5级礼包\n12、包含所有VIP1~4级功能
6,VIP6礼包,"101470,200721,108,40012","1,1,2000,9",1,6,5000,2280,20000,1、可购买超值VIP6级福利礼包\n2、开启竞技场【战五次】功能\n3、开启进阶材料【一键扫荡】功能\n4、每日购买精力丹4次\n5、每日购买氪金宝箱35次\n6、增加4次神秘商店免费刷新次数\n7、增加5次奇遇商店刷新次数\n8、增加3次军团boss购买挑战次数\n9、领取每日VIP6级礼包\n10、包含VIP1~5级所有功能
7,VIP7礼包,"2022,40023,40009,60001","50,10,5,5",2,7,10000,3380,40000,1、可购买超值VIP7级福利礼包\n2、每日购买氪金宝箱40个\n3、包裹格子增加20个\n4、英雄格子增加20个\n5、占星系统开启【一键占星】功能\n6、增加奇遇商店刷新次数6次\n7、增加副本额外奖励roll点次数2次\n8、领取每日VIP7级礼包\n9、包含VIP1~6级所有功能
8,VIP8礼包,"31073,40007,40042,107","1,5,2,200000",3,8,20000,5880,80000,1、可购买超值VIP8级福利礼包\n2、63级可开启高级洗炼石洗炼功能（原83级开启）\n3、每日购买氪金宝箱45次\n4、每日可购买4次副本挑战次数\n5、增加奇遇商店刷新次数7次\n6、增加购买每日答题次数5次\n7、领取每日VIP8级礼包\n8、包含VIP1~7级所有功能
9,VIP9礼包,"31086,200731,110003,40012","1,1,1,9",4,9,20000,6880,100000,1、可购买超值VIP9级福利礼包\n2、神秘商店免费刷新5次\n3、每日购买精力丹5次\n4、每日可购买50个氪金宝箱\n5、包裹增加25格\n6、英雄包裹增加25格\n7、增加奇遇商店刷新次数8次\n8、包含VIP1~8级所有功能
10,VIP10礼包,"31082,40043,101500,60001,","1,1,1,10",5,10,40000,8880,200000,1、可购买超值VIP10级福利礼包\n2、每日可购买体力丹5次\n3、每日可购买55个氪金宝箱\n4、包裹增加30格\n5、英雄包裹增加30格\n6、增加奇遇商店刷新次数10次\n7、增加4次军团boss购买挑战次数\n8、增加竞技场免费挑战次数3次\n9、增加副本额外roll点次数3次\n10、领取每日VIP10级礼包\n11、包含VIP1~9级所有功能
11,VIP11礼包,"31081,40043,110007,60001,","1,1,1,10",6,11,100000,8880,200000,1、可购买超值VIP11级福利礼包\n2、每日购买60个氪金宝箱\n3、包裹增加35格\n4、英雄包裹增加35格\n5、每日可购买5次副本挑战次数\n6、增加奇遇商店刷新次数11次\n7、领取每日VIP11级礼包\n8、包含VIP1~10级所有功能
12,VIP12礼包,"31084,40043,110003,60001,","1,1,1,10",7,12,200000,12880,300000,1、可购买超值VIP12级福利礼包\n2、每日购买6个精力丹\n3、每日购买氪金宝箱65次\n4、包裹格子增加40格\n5、英雄包裹增加40格\n6、增加神秘商店每日免费刷新次数6次\n7、增加奇遇商店刷新次数12次\n8、领取每日VIP12礼包\n9、包含VIP1~11级所有功能
13,VIP13礼包,"31087,40043,110007,60001,","1,1,1,10",8,13,200000,12880,300000,1、可购买超值VIP13级福利礼包\n2、每日购买6个体力丹\n3、每日购买70氪金宝箱\n4、包裹格子增加45格\n5、英雄包裹增加45格\n6、每日购买副本挑战次数6次\n7、增加神秘商店免费刷新次数7次\n8、增加奇遇商店刷新次数13次\n9、增加5次购买军团boss挑战次数\n10、领取每日VIP13级礼包\n11、包含VIP1~12级所有功能
14,VIP14礼包,"31088,40043,110003,60001,","1,1,1,10",9,14,200000,14880,400000,1、可购买超值VIP14级福利礼包\n2、每日购买75个氪金宝箱\n3、包裹格子增加50个\n4、英雄格子增加50个\n5、增加神秘商店免费刷新次数8次\n6、增加奇遇商店刷新次数14次\n7、领取每日VIP14级礼包\n8、包含VIP1~13级所有功能
