Table:CsvFlipCardAward,,,,,,
tid,name:s,cost_diamond,type:WordToTreasureType,item_id,item_count,word_type:WordType
#翻牌奖励,名字,消耗钻石,字或道具,道具ID,奖励道具数量,字类型
#集字换宝---闪避,,,,代码会洗牌,,
1001,第一张牌,0,道具,103,20,
1002,第二张牌,100,道具,103,20,
1003,第三 张牌,100,道具,107,20000,
1004,第四张牌,100,道具,107,20000,
1005,第五张牌,100,道具,108,200,
1006,第六张牌,200,道具,108,200,
1007,第七张牌,200,道具,40021,2,
1008,第八张牌,300,道具,40021,2,
1009,第九张牌,400,字,,,魔
1010,第十张牌,500,字,,,兽
1011,第十一张牌,600,字,,,世
1012,第十二张牌,800,字,,,界
1013,第十三张牌,1000,字,,,英
1014,第十四张牌,1400,字,,,雄
1015,第十五张牌,1400,字,,,传
1016,第十六张牌,1400,字,,,说
#集字换宝---命中,,,,,,
2001,第一张牌,0,道具,103,20,
2002,第二张牌,100,道具,103,20,
2003,第三 张牌,100,道具,107,20000,
2004,第四张牌,100,道具,107,20000,
2005,第五张牌,100,道具,108,200,
2006,第六张牌,200,道具,108,200,
2007,第七张牌,200,道具,40021,2,
2008,第八张牌,300,道具,40021,2,
2009,第九张牌,400,字,,,魔
2010,第十张牌,500,字,,,兽
2011,第十一张牌,600,字,,,世
2012,第十二张牌,800,字,,,界
2013,第十三张牌,1000,字,,,英
2014,第十四张牌,1400,字,,,雄
2015,第十五张牌,1400,字,,,传
2016,第十六张牌,1400,字,,,说
#集字换宝---暴击,,,,,,
3001,第一张牌,0,道具,103,20,
3002,第二张牌,100,道具,103,20,
3003,第三 张牌,100,道具,107,20000,
3004,第四张牌,100,道具,107,20000,
3005,第五张牌,100,道具,108,200,
3006,第六张牌,200,道具,108,200,
3007,第七张牌,200,道具,40021,2,
3008,第八张牌,300,道具,40021,2,
3009,第九张牌,400,字,,,魔
3010,第十张牌,500,字,,,兽
3011,第十一张牌,600,字,,,世
3012,第十二张牌,800,字,,,界
3013,第十三张牌,1000,字,,,英
3014,第十四张牌,1400,字,,,雄
3015,第十五张牌,1400,字,,,传
3016,第十六张牌,1400,字,,,说
#集字换宝---韧性,,,,,,
4001,第一张牌,0,道具,103,20,
4002,第二张牌,100,道具,103,20,
4003,第三 张牌,100,道具,107,20000,
4004,第四张牌,100,道具,107,20000,
4005,第五张牌,100,道具,108,200,
4006,第六张牌,200,道具,108,200,
4007,第七张牌,200,道具,40021,2,
4008,第八张牌,300,道具,40021,2,
4009,第九张牌,400,字,,,魔
4010,第十张牌,500,字,,,兽
4011,第十一张牌,600,字,,,世
4012,第十二张牌,800,字,,,界
4013,第十三张牌,1000,字,,,英
4014,第十四张牌,1400,字,,,雄
4015,第十五张牌,1400,字,,,传
4016,第十六张牌,1400,字,,,说
#集字换宝---格挡,,,,,,
5001,第一张牌,0,道具,103,20,
5002,第二张牌,100,道具,103,20,
5003,第三 张牌,100,道具,107,20000,
5004,第四张牌,100,道具,107,20000,
5005,第五张牌,100,道具,108,200,
5006,第六张牌,200,道具,108,200,
5007,第七张牌,200,道具,40021,2,
5008,第八张牌,300,道具,40021,2,
5009,第九张牌,400,字,,,魔
5010,第十张牌,500,字,,,兽
5011,第十一张牌,600,字,,,世
5012,第十二张牌,800,字,,,界
5013,第十三张牌,1000,字,,,英
5014,第十四张牌,1400,字,,,雄
5015,第十五张牌,1400,字,,,传
5016,第十六张牌,1400,字,,,说
#集字换宝---穿透,,,,,,
6001,第一张牌,0,道具,103,20,
6002,第二张牌,100,道具,103,20,
6003,第三 张牌,100,道具,107,20000,
6004,第四张牌,100,道具,107,20000,
6005,第五张牌,100,道具,108,200,
6006,第六张牌,200,道具,108,200,
6007,第七张牌,200,道具,40021,2,
6008,第八张牌,300,道具,40021,2,
6009,第九张牌,400,字,,,魔
6010,第十张牌,500,字,,,兽
6011,第十一张牌,600,字,,,世
6012,第十二张牌,800,字,,,界
6013,第十三张牌,1000,字,,,英
6014,第十四张牌,1400,字,,,雄
6015,第十五张牌,1400,字,,,传
6016,第十六张牌,1400,字,,,说
#集字换宝---抵抗,,,,,,
7001,第一张牌,0,道具,103,20,
7002,第二张牌,100,道具,103,20,
7003,第三 张牌,100,道具,107,20000,
7004,第四张牌,100,道具,107,20000,
